text,label
"Your account has been compromised. Click here to reset your password.",1
"We detected suspicious activity on your bank account.",1
"Please confirm your identity to unlock your PayPal account.",1
"Update your billing information to continue using our service.",1
"You've received a secure message, click here to view.",1
"Meeting has been rescheduled to Tuesday.",0
"Here is the document you asked for.",0
"Happy Birthday! Wishing you all the best.",0
"Team lunch is planned for tomorrow at 1 PM.",0
"Please review the attached report.",0
Your invoice is attached. Please review it immediately.,1
Update your billing information immediately.,1
We've noticed suspicious activity on your account.,1
Your PayPal account is restricted.,1
We couldn't deliver your package. Verify your address.,1
Invoice payment has been processed.,0
Your invoice for last month is attached.,0
Your PayPal account is restricted.,1
Your PayPal account is restricted.,1
Your invoice for last month is attached.,0
You have a new message from your bank. Click to view.,1
Thank you for your feedback.,0
Your PayPal account is restricted.,1
You have a new message from your bank. Click to view.,1
Here is the agenda for tomorrow's meeting.,0
Here is the agenda for tomorrow's meeting.,0
Weekly update: all systems operational.,0
Your password will expire soon. Reset now.,1
Reminder: team call at 4 PM today.,0
Weekly update: all systems operational.,0
Final version of the document attached.,0
You have a new message from your bank. Click to view.,1
Unlock your account by confirming your details.,1
Congratulations on your promotion!,0
Verify your identity to continue using your account.,1
Verify your identity to continue using your account.,1
You are eligible for a refund. Submit your info.,1
Congratulations on your promotion!,0
Thank you for your feedback.,0
Don't forget to submit your timesheet.,0
Claim your reward by clicking this link.,1
Invoice payment has been processed.,0
Final warning: confirm your details or lose access.,1
Thank you for your feedback.,0
You are eligible for a refund. Submit your info.,1
Invoice payment has been processed.,0
Urgent: You must verify your account now.,1
Your PayPal account is restricted.,1
Happy Birthday! Hope you have a great day.,0
Your PayPal account is restricted.,1
We've noticed suspicious activity on your account.,1
Final warning: confirm your details or lose access.,1
Your subscription has been renewed.,0
We couldn't deliver your package. Verify your address.,1
Can you review the presentation draft?,0
Your subscription has been renewed.,0
Update your billing information immediately.,1
The office will be closed on Friday.,0
Meeting rescheduled to Monday at 10 AM.,0
Your account has been suspended. Click here to reactivate.,1
Security update required. Click here to proceed.,1
Your PayPal account is restricted.,1
Unauthorized login attempt detected. Secure your account.,1
Here is the report for this week.,0
You've received a secured message. Click to view.,1
Happy Birthday! Hope you have a great day.,0
We've noticed suspicious activity on your account.,1
You have a new message from your bank. Click to view.,1
Your invoice for last month is attached.,0
The office will be closed on Friday.,0
Your invoice for last month is attached.,0
We couldn't deliver your package. Verify your address.,1
Your email is being deactivated. Confirm now.,1
Meeting rescheduled to Monday at 10 AM.,0
No meeting this afternoon.,0
You are eligible for a refund. Submit your info.,1
We've noticed suspicious activity on your account.,1
Meeting rescheduled to Monday at 10 AM.,0
Verify your identity to continue using your account.,1
You have a new message from your bank. Click to view.,1
Your password will expire soon. Reset now.,1
Weekly update: all systems operational.,0
Final warning: confirm your details or lose access.,1
Invoice payment has been processed.,0
Happy holidays from our team!,0
Here is the agenda for tomorrow's meeting.,0
Unauthorized login attempt detected. Secure your account.,1
Unusual transaction detected on your card.,1
Reminder: team call at 4 PM today.,0
You are eligible for a refund. Submit your info.,1
Can you review the presentation draft?,0
Team lunch is planned for Thursday.,0
Don't forget to submit your timesheet.,0
Here is the agenda for tomorrow's meeting.,0
Can you review the presentation draft?,0
Urgent: You must verify your account now.,1
Your email is being deactivated. Confirm now.,1
Final warning: confirm your details or lose access.,1
Here is the report for this week.,0
Claim your reward by clicking this link.,1
Lunch will be provided in the cafeteria.,0
Verify your identity to continue using your account.,1
Lunch will be provided in the cafeteria.,0
Unauthorized login attempt detected. Secure your account.,1
Happy Birthday! Hope you have a great day.,0
Here is the report for this week.,0
Your account has been suspended. Click here to reactivate.,1
We've noticed suspicious activity on your account.,1
Thank you for your feedback.,0
Your password will expire soon. Reset now.,1
You have a new message from your bank. Click to view.,1
Your invoice is attached. Please review it immediately.,1
Unusual transaction detected on your card.,1
Your account has been suspended. Click here to reactivate.,1
Meeting rescheduled to Monday at 10 AM.,0
Happy holidays from our team!,0
Invoice payment has been processed.,0
Happy Birthday! Hope you have a great day.,0
Thank you for your feedback.,0
Team lunch is planned for Thursday.,0
Lunch will be provided in the cafeteria.,0
Weekly update: all systems operational.,0
Update your billing information immediately.,1
Happy holidays from our team!,0
No meeting this afternoon.,0
Your subscription has been renewed.,0
Your bank account has been compromised. Act now.,1
Reminder: team call at 4 PM today.,0
Verify your identity to continue using your account.,1
Final version of the document attached.,0
Verify your identity to continue using your account.,1
Зміни безпеки були внесені. Підтвердьте свою особу.,1
"Останнє попередження: підтвердьте дані, щоб уникнути втрати доступу.",1
Привітання з нагоди свят!,0
Графік роботи на наступний тиждень у додатку.,0
Привітання з нагоди свят!,0
Update your billing information immediately.,1
Дякуємо за участь у конференції.,0
Your invoice for last month is attached.,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
You've received a secured message. Click to view.,1
Your invoice for last month is attached.,0
Final version of the document attached.,0
Оновіть платіжні дані для продовження користування сервісом.,1
Can you review the presentation draft?,0
Привітання з нагоди свят!,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
Here is the agenda for tomorrow's meeting.,0
Unlock your account by confirming your details.,1
Unauthorized login attempt detected. Secure your account.,1
Happy holidays from our team!,0
Security update required. Click here to proceed.,1
Нагадуємо про заплановану зустріч завтра о 14:00.,0
"Натисніть тут, щоб отримати виграш.",1
We couldn't deliver your package. Verify your address.,1
Urgent: You must verify your account now.,1
Claim your reward by clicking this link.,1
Вам нараховано повернення коштів. Вкажіть реквізити для отримання.,1
Звіт за тиждень готовий до перегляду.,0
Congratulations on your promotion!,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
We couldn't deliver your package. Verify your address.,1
Claim your reward by clicking this link.,1
Update your billing information immediately.,1
Congratulations on your promotion!,0
Ознайомтесь із прикріпленим документом.,0
Reminder: team call at 4 PM today.,0
Here is the agenda for tomorrow's meeting.,0
Invoice payment has been processed.,0
Security update required. Click here to proceed.,1
"Натисніть тут, щоб отримати виграш.",1
Ознайомтесь із прикріпленим документом.,0
Your PayPal account is restricted.,1
Verify your identity to continue using your account.,1
Invoice payment has been processed.,0
Reminder: team call at 4 PM today.,0
Update your billing information immediately.,1
We couldn't deliver your package. Verify your address.,1
Don't forget to submit your timesheet.,0
Оновіть платіжні дані для продовження користування сервісом.,1
Don't forget to submit your timesheet.,0
Зустріч перенесено на п’ятницю.,0
"Останнє попередження: підтвердьте дані, щоб уникнути втрати доступу.",1
Here is the report for this week.,0
Happy holidays from our team!,0
You have a new message from your bank. Click to view.,1
Нагадуємо про заплановану зустріч завтра о 14:00.,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
Team lunch is planned for Thursday.,0
Ваш банківський рахунок заблоковано через підозрілу транзакцію.,1
Зустріч перенесено на п’ятницю.,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
Claim your reward by clicking this link.,1
"Ваш акаунт було тимчасово заблоковано. Натисніть тут, щоб його відновити.",1
Final warning: confirm your details or lose access.,1
Ось ваш рахунок-фактура за минулий місяць.,0
Your invoice is attached. Please review it immediately.,1
"Будь ласка, надайте відгук щодо презентації.",0
Security update required. Click here to proceed.,1
Thank you for your feedback.,0
Unusual transaction detected on your card.,1
Final version of the document attached.,0
Ось ваш рахунок-фактура за минулий місяць.,0
"Ваш акаунт було тимчасово заблоковано. Натисніть тут, щоб його відновити.",1
Reminder: team call at 4 PM today.,0
Your invoice for last month is attached.,0
Urgent: You must verify your account now.,1
Happy Birthday! Hope you have a great day.,0
Дякуємо за участь у конференції.,0
Ось ваш рахунок-фактура за минулий місяць.,0
Your invoice is attached. Please review it immediately.,1
Verify your identity to continue using your account.,1
Unlock your account by confirming your details.,1
Happy Birthday! Hope you have a great day.,0
Привітання з нагоди свят!,0
Verify your identity to continue using your account.,1
Happy Birthday! Hope you have a great day.,0
"Будь ласка, підтвердіть свою особу, щоб уникнути блокування.",1
Invoice payment has been processed.,0
Зміни безпеки були внесені. Підтвердьте свою особу.,1
Final warning: confirm your details or lose access.,1
Invoice payment has been processed.,0
Зустріч перенесено на п’ятницю.,0
We couldn't deliver your package. Verify your address.,1
Unauthorized login attempt detected. Secure your account.,1
Привітання з нагоди свят!,0
Thank you for your feedback.,0
Unusual transaction detected on your card.,1
"Ваш акаунт було тимчасово заблоковано. Натисніть тут, щоб його відновити.",1
Дякуємо за швидке реагування.,0
Unauthorized login attempt detected. Secure your account.,1
Urgent: You must verify your account now.,1
Please review the attached proposal.,0
Final version of the document attached.,0
Thank you for your feedback.,0
Дякуємо за участь у конференції.,0
Ваш банківський рахунок заблоковано через підозрілу транзакцію.,1
Вам нараховано повернення коштів. Вкажіть реквізити для отримання.,1
Happy Birthday! Hope you have a great day.,0
Дякуємо за участь у конференції.,0
No meeting this afternoon.,0
Your account has been suspended. Click here to reactivate.,1
Ознайомтесь із прикріпленим документом.,0
Lunch will be provided in the cafeteria.,0
Unauthorized login attempt detected. Secure your account.,1
The office will be closed on Friday.,0
Your invoice is attached. Please review it immediately.,1
Your email is being deactivated. Confirm now.,1
Thank you for your feedback.,0
Оновіть платіжні дані для продовження користування сервісом.,1
Claim your reward by clicking this link.,1
Here is the agenda for tomorrow's meeting.,0
Final version of the document attached.,0
Can you review the presentation draft?,0
"Будь ласка, підтвердіть свою особу, щоб уникнути блокування.",1
Unauthorized login attempt detected. Secure your account.,1
Reminder: team call at 4 PM today.,0
Привітання з нагоди свят!,0
Update your billing information immediately.,1
Update your billing information immediately.,1
Happy Birthday! Hope you have a great day.,0
You've received a secured message. Click to view.,1
Your password will expire soon. Reset now.,1
Weekly update: all systems operational.,0
Unlock your account by confirming your details.,1
Can you review the presentation draft?,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
Дякуємо за швидке реагування.,0
Your account has been suspended. Click here to reactivate.,1
Don't forget to submit your timesheet.,0
Congratulations on your promotion!,0
Привітання з нагоди свят!,0
Final version of the document attached.,0
Your invoice is attached. Please review it immediately.,1
"Останнє попередження: підтвердьте дані, щоб уникнути втрати доступу.",1
Security update required. Click here to proceed.,1
Unusual transaction detected on your card.,1
Happy holidays from our team!,0
Your bank account has been compromised. Act now.,1
"Останнє попередження: підтвердьте дані, щоб уникнути втрати доступу.",1
Звіт за тиждень готовий до перегляду.,0
Your invoice for last month is attached.,0
Claim your reward by clicking this link.,1
Вам нараховано повернення коштів. Вкажіть реквізити для отримання.,1
Your password will expire soon. Reset now.,1
Update your billing information immediately.,1
Your subscription has been renewed.,0
Звіт за тиждень готовий до перегляду.,0
"Ваша електронна пошта буде видалена, якщо ви не підтвердите її.",1
Вам нараховано повернення коштів. Вкажіть реквізити для отримання.,1
Please review the attached proposal.,0
Звіт за тиждень готовий до перегляду.,0
Звіт за тиждень готовий до перегляду.,0
Привітання з нагоди свят!,0
Your PayPal account is restricted.,1
"Останнє попередження: підтвердьте дані, щоб уникнути втрати доступу.",1
Дякуємо за швидке реагування.,0
You've received a secured message. Click to view.,1
Ознайомтесь із прикріпленим документом.,0
Your account has been suspended. Click here to reactivate.,1
"Натисніть тут, щоб отримати виграш.",1
Verify your identity to continue using your account.,1
Unauthorized login attempt detected. Secure your account.,1
Urgent: You must verify your account now.,1
Lunch will be provided in the cafeteria.,0
Final version of the document attached.,0
Happy holidays from our team!,0
Your bank account has been compromised. Act now.,1
Ось ваш рахунок-фактура за минулий місяць.,0
Happy holidays from our team!,0
Unusual transaction detected on your card.,1
Security update required. Click here to proceed.,1
Дякуємо за швидке реагування.,0
Your subscription has been renewed.,0
Don't forget to submit your timesheet.,0
Can you review the presentation draft?,0
Unauthorized login attempt detected. Secure your account.,1
Привітання з нагоди свят!,0
Your account has been suspended. Click here to reactivate.,1
Urgent: You must verify your account now.,1
Звіт за тиждень готовий до перегляду.,0
Invoice payment has been processed.,0
Unlock your account by confirming your details.,1
Weekly update: all systems operational.,0
Зміни безпеки були внесені. Підтвердьте свою особу.,1
Happy holidays from our team!,0
Final warning: confirm your details or lose access.,1
Your password will expire soon. Reset now.,1
Thank you for your feedback.,0
Meeting rescheduled to Monday at 10 AM.,0
